target,driver_cell_type,driver_stimulus,inducibility_lfc,ci_low,ci_high,i2,positive_fraction_resting,positive_fraction_activated,protein_concordance,evidence_class,abstention_reasons,protein_adjustment,row_score,footprint_resting,footprint_activated,footprint_expansion,selectivity_resting,selectivity_activated,selectivity_erosion,rna_only_score,score
TNFRSF9,T_cell,lymphocyte_activation,1.7272278507043939,1.265717151347924,2.188738550060864,73.99770264861692,0.29444444444444445,0.7222222222222222,CONCORDANT,B,[],0.35,2.877227850704394,7,7,0,0.8339311127167752,-0.7334249184692272,1.5673560311860024,1.7272278507043939,2.877227850704394
LAG3,T_cell,lymphocyte_activation,2.368461210578839,0.7531553127476422,3.983767108410036,77.36095855539831,0.33888888888888885,0.45,UNAVAILABLE,C,[],0.0,2.768461210578839,7,7,0,1.177211800797796,0.09964277448045748,1.0775690263173388,2.368461210578839,2.768461210578839
CD38,T_cell,lymphocyte_activation,1.9101863591116794,1.0995840838375792,2.7207886343857797,66.90422705016614,0.3833333333333333,0.6777777777777777,UNAVAILABLE,B,[],0.0,2.7101863591116793,7,7,0,0.0829273460437087,-0.8902319928245218,0.9731593388682306,1.9101863591116794,2.7101863591116793
ENTPD1,T_cell,lymphocyte_activation,1.8855514778818072,1.2100080763759107,2.5610948793877037,39.105032378568765,0.12222222222222223,0.3444444444444444,UNAVAILABLE,B,[],0.0,2.6855514778818073,7,7,0,1.9360782642047873,0.8017031267366512,1.1343751374681361,1.8855514778818072,2.6855514778818073
HAVCR2,T_cell,lymphocyte_activation,1.6695534294104322,0.999241721989484,2.3398651368313805,27.524083906584817,0.37777777777777777,0.5166666666666667,UNAVAILABLE,B,[],0.0,2.469553429410432,7,7,0,0.6823430561790987,-0.3698877236231999,1.0522307798022987,1.6695534294104322,2.469553429410432
SIGLEC1,Myeloid,IFN_II,1.534003275053629,1.3152850136290664,1.7527215364781916,0.0,0.3666666666666667,0.5611111111111111,UNAVAILABLE,B,[],0.0,2.334003275053629,7,7,0,0.5873584586672734,-0.2306670692149376,0.818025527882211,1.534003275053629,2.334003275053629
VCAM1,Myeloid,IFN_II,1.5168329109362624,0.40025945327946655,2.633406368593058,64.73241619816554,0.20555555555555557,0.3111111111111111,UNAVAILABLE,B,[],0.0,2.316832910936262,7,7,0,2.186102127330145,1.2278175948749597,0.9582845324551853,1.5168329109362624,2.316832910936262
MICB,Myeloid,IFN_II,1.4515762602698428,0.8291478764958355,2.0740046440438498,23.276743262538073,0.1611111111111111,0.36111111111111116,UNAVAILABLE,B,[],0.0,2.251576260269843,7,7,0,1.4447621243169635,0.2788129939535529,1.1659491303634104,1.4515762602698428,2.251576260269843
CD70,T_cell,lymphocyte_activation,2.7970075030935693,0.237198590725741,5.356816415461397,96.94006242624447,0.08888888888888889,0.25555555555555554,UNAVAILABLE,INSUFFICIENT,['EXCESSIVE_HETEROGENEITY'],0.0,2.7970075030935693,4,3,-1,2.3873695283374636,1.4164025216061937,0.9709670067312693,2.2470075030935694,2.2470075030935694
CTLA4,T_cell,lymphocyte_activation,1.3396124098117415,0.6347475870675515,2.0444772325559315,0.0,0.19999999999999998,0.35555555555555557,UNAVAILABLE,B,[],0.0,2.1396124098117415,7,7,0,1.7368390803530085,0.8541034889521354,0.8827355914008731,1.3396124098117415,2.1396124098117415
PDCD1,T_cell,lymphocyte_activation,1.2389493591388452,0.862540756892406,1.6153579613852844,5.920338533949544,0.47222222222222227,0.7388888888888889,UNAVAILABLE,B,[],0.0,2.0389493591388455,7,7,0,0.0575032669647196,-1.002388866423728,1.0598921333884475,1.2389493591388452,2.0389493591388455
CD79A,Endothelial,IFN_II,1.131079083057027,0.08798736880733204,2.174170797306722,0.0,0.1111111111111111,0.17777777777777778,UNAVAILABLE,B,[],0.0,1.931079083057027,7,7,0,-4.014749041719198,-4.014109974800943,-0.0006390669182542533,1.131079083057027,1.931079083057027
CLDN6,Myeloid,IFN_II,1.4234337488912074,0.22010879909652936,2.6267586986858857,0.0,0.06111111111111111,0.12777777777777777,UNAVAILABLE,B,[],0.0,2.2234337488912077,5,4,-1,-2.7464986251787695,-2.802471211891651,0.05597258671288152,0.8734337488912074,1.6734337488912077
ICOS,T_cell,lymphocyte_activation,0.8548816511931414,0.4840145190370618,1.225748783349221,23.853027884311174,0.31666666666666665,0.47222222222222215,UNAVAILABLE,B,[],0.0,1.6548816511931415,7,7,0,1.0503354314148152,0.3581226983552446,0.6922127330595705,0.8548816511931414,1.6548816511931415
TNFRSF18,B_cell,lymphocyte_activation,1.3794133070517347,0.30084174031697875,2.457984873786491,0.0,0.022222222222222223,0.049999999999999996,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,1.3794133070517347,0,0,0,3.9026909305126924,3.234426389298046,0.6682645412146467,1.3794133070517347,1.3794133070517347
FAP,Fibroblast,tissue_damage,0.9570999145220029,-0.046892518260394755,1.9610923473044006,0.0,0.03888888888888889,0.07222222222222223,UNAVAILABLE,C,[],0.0,1.3570999145220028,0,0,0,3.5093479531927514,3.1304514465502447,0.3788965066425069,0.9570999145220029,1.3570999145220028
MICA,Myeloid,IFN_II,1.1512916293754945,-0.401952054548274,2.704535313299263,96.70372287602818,0.33888888888888885,0.5333333333333333,UNAVAILABLE,INSUFFICIENT,['EXCESSIVE_HETEROGENEITY'],0.0,1.1512916293754945,7,7,0,1.3338229894870333,1.1203507844998304,0.21347220498720296,1.1512916293754945,1.1512916293754945
CD8A,Epithelial,IFN_II,0.5892183110242313,-0.129500472045728,1.3079370940941906,46.16389900098963,0.3166666666666667,0.37777777777777777,UNAVAILABLE,C,[],0.0,0.9892183110242313,7,7,0,-4.921302122071151,-4.920152757364282,-0.001149364706869586,0.5892183110242313,0.9892183110242313
TNFRSF17,Fibroblast,tissue_damage,0.3272063528745782,-0.08712333680957701,0.7415360425587334,0.0,0.18888888888888888,0.2111111111111111,CONCORDANT,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.35,0.6772063528745782,7,7,0,-2.976472072835785,-3.106052307496679,0.12958023466089377,0.3272063528745782,0.6772063528745782
TNFRSF12A,Endothelial,IFN_II,0.6648342042276485,-0.42121570058328595,1.750884109038583,0.0,0.022222222222222223,0.03888888888888888,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,0.6648342042276485,0,0,0,3.6296459951735183,3.3858991601686506,0.2437468350048674,0.6648342042276485,0.6648342042276485
CLDN18,Myeloid,IFN_II,0.6639810355173832,-0.1976946567559752,1.5256567277907416,0.0,0.016666666666666666,0.049999999999999996,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,0.6639810355173832,1,1,0,-1.4567836663496527,-1.5282300511490485,0.0714463847993958,0.6639810355173832,0.6639810355173832
MS4A1,Fibroblast,tissue_damage,0.282553015432004,-0.23840901732218306,0.803515048186191,64.23116453651299,0.16666666666666666,0.20000000000000004,CONCORDANT,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.35,0.632553015432004,7,7,0,-2.381347769740254,-1.913687119980193,-0.467660649760061,0.282553015432004,0.632553015432004
CD19,Myeloid,IFN_II,0.24218557605665778,-0.20594614031083577,0.6903172924241513,0.0,0.2111111111111111,0.25555555555555554,CONCORDANT,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.35,0.5921855760566578,7,7,0,-3.343143789209264,-3.4324198742914622,0.08927608508219838,0.24218557605665778,0.5921855760566578
ERBB2,Epithelial,IFN_II,0.11451961671310723,0.006842349281416915,0.22219688414479755,0.0,0.75,0.7888888888888889,CONCORDANT,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.35,0.4645196167131072,1,1,0,-1.0014821588130454,-1.198868292363702,0.1973861335506566,0.11451961671310723,0.4645196167131072
GPRC5D,B_cell,lymphocyte_activation,0.3399475641634685,-0.6349283323319531,1.3148234606588902,65.74315769602845,0.2333333333333333,0.26666666666666666,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,0.3399475641634685,7,7,0,-3.696971509246841,-3.741388114143149,0.04441660489630787,0.3399475641634685,0.3399475641634685
DLL3,Fibroblast,tissue_damage,0.27029576114709125,-0.363942043261755,0.9045335655559374,0.0,0.1611111111111111,0.19999999999999998,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,0.27029576114709125,7,7,0,-4.4763986411535965,-4.424559779612641,-0.05183886154095537,0.27029576114709125,0.27029576114709125
CD4,Fibroblast,tissue_damage,0.2379479470662281,-0.7646207394083876,1.2405166335408437,0.0,0.11666666666666665,0.12777777777777777,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,0.2379479470662281,6,6,0,-3.152469942485977,-3.168220351934417,0.015750409448440788,0.2379479470662281,0.2379479470662281
FOLR1,T_cell,lymphocyte_activation,0.013557682466589595,-0.011999655135276049,0.03911502006845524,0.0,0.005555555555555556,0.016666666666666666,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,0.013557682466589595,1,1,0,0.4803072699085756,0.5941888463076586,-0.11388157639908296,0.013557682466589595,0.013557682466589595
